model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das,0,1,0,64,0.001,128,0,0.9970963597297668,0.9860627055168152
gpt2-small,das,0,1,0,64,0.001,128,1,0.9860627055168152,0.9471544027328491
gpt2-small,das,0,1,0,64,0.001,128,2,0.9471544027328491,0.9001161456108093
gpt2-small,das,0,1,0,64,0.001,128,3,0.9001161456108093,0.8356562256813049
gpt2-small,das,0,1,0,64,0.001,128,4,0.8356562256813049,0.7624855041503906
gpt2-small,das,0,1,0,64,0.001,128,5,0.7624855041503906,0.6980255246162415
gpt2-small,das,0,1,0,64,0.001,128,6,0.6980255246162415,0.6614401340484619
gpt2-small,das,0,1,0,64,0.001,128,7,0.6614401340484619,0.6184669137001038
gpt2-small,das,0,1,0,64,0.001,128,8,0.6184669137001038,0.5998837947845459
gpt2-small,das,0,1,0,64,0.001,128,9,0.5998837947845459,0.5778164863586426
gpt2-small,das,0,1,0,64,0.001,128,10,0.5778164863586426,0.5621370673179626
gpt2-small,das,0,1,0,64,0.001,128,11,0.5621370673179626,0.5406504273414612
gpt2-small,das,0,1,0,64,0.001,128,12,0.5406504273414612,0.5156794190406799
gpt2-small,das,0,1,0,64,0.001,128,13,0.5156794190406799,0.5
gpt2-small,das,0,1,0,64,0.001,128,14,0.5,0.46689897775650024
gpt2-small,das,0,1,0,64,0.001,128,15,0.46689897775650024,0.4436701536178589
gpt2-small,das,0,1,0,64,0.001,128,16,0.4436701536178589,0.41753774881362915
gpt2-small,das,0,1,0,64,0.001,128,17,0.41753774881362915,0.3948896527290344
gpt2-small,das,0,1,0,64,0.001,128,18,0.3948896527290344,0.37514519691467285
gpt2-small,das,0,1,0,64,0.001,128,19,0.37514519691467285,0.3455284833908081
gpt2-small,das,0,1,0,64,0.001,128,20,0.3455284833908081,0.3414634168148041
gpt2-small,das,0,1,0,64,0.001,128,21,0.3414634168148041,0.31416961550712585
gpt2-small,das,0,1,0,64,0.001,128,22,0.31416961550712585,0.30720093846321106
gpt2-small,das,0,1,0,64,0.001,128,23,0.30720093846321106,0.296167254447937
gpt2-small,das,0,1,0,64,0.001,128,24,0.296167254447937,0.2752613425254822
gpt2-small,das,0,1,0,64,0.001,128,25,0.2752613425254822,0.25958189368247986
gpt2-small,das,0,1,0,64,0.001,128,26,0.25958189368247986,0.2531939744949341
gpt2-small,das,0,1,0,64,0.001,128,27,0.2531939744949341,0.2398374080657959
gpt2-small,das,0,1,0,64,0.001,128,28,0.2398374080657959,0.2247386872768402
gpt2-small,das,0,1,0,64,0.001,128,29,0.2247386872768402,0.22357726097106934
gpt2-small,das,0,1,0,64,0.001,128,30,0.22357726097106934,0.2142857164144516
gpt2-small,das,0,1,0,64,0.001,128,31,0.2142857164144516,0.21138212084770203
gpt2-small,das,0,1,0,64,0.001,128,32,0.21138212084770203,0.19802556931972504
gpt2-small,das,0,1,0,64,0.001,128,33,0.19802556931972504,0.190476194024086
gpt2-small,das,0,1,0,64,0.001,128,34,0.190476194024086,0.1887340545654297
gpt2-small,das,0,1,0,64,0.001,128,35,0.1887340545654297,0.1823461353778839
gpt2-small,das,0,1,0,64,0.001,128,36,0.1823461353778839,0.17770038545131683
gpt2-small,das,0,1,0,64,0.001,128,37,0.17770038545131683,0.1788617968559265
gpt2-small,das,0,1,0,64,0.001,128,38,0.1788617968559265,0.16957029700279236
gpt2-small,das,0,1,0,64,0.001,128,39,0.16957029700279236,0.17073175311088562
gpt2-small,das,0,1,0,64,0.001,128,40,0.17073175311088562,0.16376304626464844
gpt2-small,das,0,1,0,64,0.001,128,41,0.16376304626464844,0.15911732614040375
gpt2-small,das,0,1,0,64,0.001,128,42,0.15911732614040375,0.15563298761844635
gpt2-small,das,0,1,0,64,0.001,128,43,0.15563298761844635,0.1562137007713318
gpt2-small,das,0,1,0,64,0.001,128,44,0.1562137007713318,0.1515679806470871
gpt2-small,das,0,1,0,64,0.001,128,45,0.1515679806470871,0.1498258113861084
gpt2-small,das,0,1,0,64,0.001,128,46,0.1498258113861084,0.1480836421251297
gpt2-small,das,0,1,0,64,0.001,128,47,0.1480836421251297,0.15098726749420166
gpt2-small,das,0,1,0,64,0.001,128,48,0.15098726749420166,0.143437922000885
gpt2-small,das,0,1,0,64,0.001,128,49,0.143437922000885,0.15040652453899384
gpt2-small,das,0,1,0,64,0.001,128,50,0.15040652453899384,0.14401860535144806
gpt2-small,das,0,1,0,64,0.001,128,51,0.14401860535144806,0.14634151756763458
gpt2-small,das,0,1,0,64,0.001,128,52,0.14634151756763458,0.14866435527801514
gpt2-small,das,0,1,0,64,0.001,128,53,0.14866435527801514,0.14750289916992188
gpt2-small,das,0,1,0,64,0.001,128,54,0.14750289916992188,0.14750292897224426
gpt2-small,das,0,1,0,64,0.001,128,55,0.14750292897224426,0.14169572293758392
gpt2-small,das,0,1,0,64,0.001,128,56,0.14169572293758392,0.13879212737083435
