model,layer,method_a,method_b,absolute_cosine
gpt2-small,0,mean_diff,mean_diff,0.99999994
gpt2-small,0,mean_diff,kmeans,0.99999994
gpt2-small,0,mean_diff,logistic_regression,0.986267
gpt2-small,0,mean_diff,pca,0.935781
gpt2-small,0,mean_diff,das,0.87224996
gpt2-small,0,mean_diff,random,0.04971701
gpt2-small,0,kmeans,mean_diff,0.99999994
gpt2-small,0,kmeans,kmeans,0.99999994
gpt2-small,0,kmeans,logistic_regression,0.986267
gpt2-small,0,kmeans,pca,0.935781
gpt2-small,0,kmeans,das,0.87224996
gpt2-small,0,kmeans,random,0.04971701
gpt2-small,0,logistic_regression,mean_diff,0.986267
gpt2-small,0,logistic_regression,kmeans,0.986267
gpt2-small,0,logistic_regression,logistic_regression,1.0
gpt2-small,0,logistic_regression,pca,0.88146675
gpt2-small,0,logistic_regression,das,0.8603803
gpt2-small,0,logistic_regression,random,0.045222893
gpt2-small,0,pca,mean_diff,0.935781
gpt2-small,0,pca,kmeans,0.935781
gpt2-small,0,pca,logistic_regression,0.88146675
gpt2-small,0,pca,pca,1.0000002
gpt2-small,0,pca,das,0.8201355
gpt2-small,0,pca,random,0.04869707
gpt2-small,0,das,mean_diff,0.87224996
gpt2-small,0,das,kmeans,0.87224996
gpt2-small,0,das,logistic_regression,0.8603803
gpt2-small,0,das,pca,0.8201355
gpt2-small,0,das,das,1.0000002
gpt2-small,0,das,random,0.056676585
gpt2-small,0,random,mean_diff,0.04971701
gpt2-small,0,random,kmeans,0.04971701
gpt2-small,0,random,logistic_regression,0.045222893
gpt2-small,0,random,pca,0.04869707
gpt2-small,0,random,das,0.056676585
gpt2-small,0,random,random,1.0000001
gpt2-small,1,mean_diff,mean_diff,1.0
gpt2-small,1,mean_diff,kmeans,0.99113846
gpt2-small,1,mean_diff,logistic_regression,0.9597709
gpt2-small,1,mean_diff,pca,0.9145736
gpt2-small,1,mean_diff,das,0.8897375
gpt2-small,1,mean_diff,random,0.022342343
gpt2-small,1,kmeans,mean_diff,0.99113846
gpt2-small,1,kmeans,kmeans,0.9999999
gpt2-small,1,kmeans,logistic_regression,0.93598443
gpt2-small,1,kmeans,pca,0.93214405
gpt2-small,1,kmeans,das,0.88154525
gpt2-small,1,kmeans,random,0.015564874
gpt2-small,1,logistic_regression,mean_diff,0.9597709
gpt2-small,1,logistic_regression,kmeans,0.93598443
gpt2-small,1,logistic_regression,logistic_regression,1.0000002
gpt2-small,1,logistic_regression,pca,0.80233914
gpt2-small,1,logistic_regression,das,0.8586987
gpt2-small,1,logistic_regression,random,0.023133622
gpt2-small,1,pca,mean_diff,0.9145736
gpt2-small,1,pca,kmeans,0.93214405
gpt2-small,1,pca,logistic_regression,0.80233914
gpt2-small,1,pca,pca,1.0
gpt2-small,1,pca,das,0.8049963
gpt2-small,1,pca,random,0.010109112
gpt2-small,1,das,mean_diff,0.8897375
gpt2-small,1,das,kmeans,0.88154525
gpt2-small,1,das,logistic_regression,0.8586987
gpt2-small,1,das,pca,0.8049963
gpt2-small,1,das,das,1.0000001
gpt2-small,1,das,random,0.009776405
gpt2-small,1,random,mean_diff,0.022342343
gpt2-small,1,random,kmeans,0.015564874
gpt2-small,1,random,logistic_regression,0.023133622
gpt2-small,1,random,pca,0.010109112
gpt2-small,1,random,das,0.009776405
gpt2-small,1,random,random,1.0000001
gpt2-small,2,mean_diff,mean_diff,1.0
gpt2-small,2,mean_diff,kmeans,0.88308656
gpt2-small,2,mean_diff,logistic_regression,0.9445329
gpt2-small,2,mean_diff,pca,0.90589577
gpt2-small,2,mean_diff,das,0.8571098
gpt2-small,2,mean_diff,random,0.01446889
gpt2-small,2,kmeans,mean_diff,0.88308656
gpt2-small,2,kmeans,kmeans,0.99999964
gpt2-small,2,kmeans,logistic_regression,0.74532384
gpt2-small,2,kmeans,pca,0.9218729
gpt2-small,2,kmeans,das,0.7595285
gpt2-small,2,kmeans,random,0.016182443
gpt2-small,2,logistic_regression,mean_diff,0.9445329
gpt2-small,2,logistic_regression,kmeans,0.74532384
gpt2-small,2,logistic_regression,logistic_regression,0.9999999
gpt2-small,2,logistic_regression,pca,0.76074857
gpt2-small,2,logistic_regression,das,0.8123015
gpt2-small,2,logistic_regression,random,0.004887754
gpt2-small,2,pca,mean_diff,0.90589577
gpt2-small,2,pca,kmeans,0.9218729
gpt2-small,2,pca,logistic_regression,0.76074857
gpt2-small,2,pca,pca,0.9999999
gpt2-small,2,pca,das,0.76387465
gpt2-small,2,pca,random,0.024890155
gpt2-small,2,das,mean_diff,0.8571098
gpt2-small,2,das,kmeans,0.7595285
gpt2-small,2,das,logistic_regression,0.8123015
gpt2-small,2,das,pca,0.76387465
gpt2-small,2,das,das,1.0000001
gpt2-small,2,das,random,0.006854482
gpt2-small,2,random,mean_diff,0.01446889
gpt2-small,2,random,kmeans,0.016182443
gpt2-small,2,random,logistic_regression,0.004887754
gpt2-small,2,random,pca,0.024890155
gpt2-small,2,random,das,0.006854482
gpt2-small,2,random,random,1.0000002
gpt2-small,3,mean_diff,mean_diff,1.0000002
gpt2-small,3,mean_diff,kmeans,0.9530028
gpt2-small,3,mean_diff,logistic_regression,0.93208724
gpt2-small,3,mean_diff,pca,0.8777652
gpt2-small,3,mean_diff,das,0.84338343
gpt2-small,3,mean_diff,random,0.033954006
gpt2-small,3,kmeans,mean_diff,0.9530028
gpt2-small,3,kmeans,kmeans,0.99999964
gpt2-small,3,kmeans,logistic_regression,0.8132844
gpt2-small,3,kmeans,pca,0.9708691
gpt2-small,3,kmeans,das,0.7847785
gpt2-small,3,kmeans,random,0.019948648
gpt2-small,3,logistic_regression,mean_diff,0.93208724
gpt2-small,3,logistic_regression,kmeans,0.8132844
gpt2-small,3,logistic_regression,logistic_regression,1.0000005
gpt2-small,3,logistic_regression,pca,0.68775815
gpt2-small,3,logistic_regression,das,0.8028265
gpt2-small,3,logistic_regression,random,0.03845475
gpt2-small,3,pca,mean_diff,0.8777652
gpt2-small,3,pca,kmeans,0.9708691
gpt2-small,3,pca,logistic_regression,0.68775815
gpt2-small,3,pca,pca,1.0000001
gpt2-small,3,pca,das,0.706957
gpt2-small,3,pca,random,0.020331895
gpt2-small,3,das,mean_diff,0.84338343
gpt2-small,3,das,kmeans,0.7847785
gpt2-small,3,das,logistic_regression,0.8028265
gpt2-small,3,das,pca,0.706957
gpt2-small,3,das,das,1.0000002
gpt2-small,3,das,random,0.018625192
gpt2-small,3,random,mean_diff,0.033954006
gpt2-small,3,random,kmeans,0.019948648
gpt2-small,3,random,logistic_regression,0.03845475
gpt2-small,3,random,pca,0.020331895
gpt2-small,3,random,das,0.018625192
gpt2-small,3,random,random,1.0000004
gpt2-small,4,mean_diff,mean_diff,1.0000002
gpt2-small,4,mean_diff,kmeans,0.9749884
gpt2-small,4,mean_diff,logistic_regression,0.9252218
gpt2-small,4,mean_diff,pca,0.9304785
gpt2-small,4,mean_diff,das,0.8299407
gpt2-small,4,mean_diff,random,0.0048049986
gpt2-small,4,kmeans,mean_diff,0.9749884
gpt2-small,4,kmeans,kmeans,1.0000001
gpt2-small,4,kmeans,logistic_regression,0.8472066
gpt2-small,4,kmeans,pca,0.97956866
gpt2-small,4,kmeans,das,0.7976661
gpt2-small,4,kmeans,random,0.010514835
gpt2-small,4,logistic_regression,mean_diff,0.9252218
gpt2-small,4,logistic_regression,kmeans,0.8472066
gpt2-small,4,logistic_regression,logistic_regression,1.0000005
gpt2-small,4,logistic_regression,pca,0.75729704
gpt2-small,4,logistic_regression,das,0.7775996
gpt2-small,4,logistic_regression,random,0.0034882948
gpt2-small,4,pca,mean_diff,0.9304785
gpt2-small,4,pca,kmeans,0.97956866
gpt2-small,4,pca,logistic_regression,0.75729704
gpt2-small,4,pca,pca,0.99999964
gpt2-small,4,pca,das,0.7523252
gpt2-small,4,pca,random,0.015313664
gpt2-small,4,das,mean_diff,0.8299407
gpt2-small,4,das,kmeans,0.7976661
gpt2-small,4,das,logistic_regression,0.7775996
gpt2-small,4,das,pca,0.7523252
gpt2-small,4,das,das,0.9999999
gpt2-small,4,das,random,0.0013670423
gpt2-small,4,random,mean_diff,0.0048049986
gpt2-small,4,random,kmeans,0.010514835
gpt2-small,4,random,logistic_regression,0.0034882948
gpt2-small,4,random,pca,0.015313664
gpt2-small,4,random,das,0.0013670423
gpt2-small,4,random,random,1.0000001
gpt2-small,5,mean_diff,mean_diff,0.99999976
gpt2-small,5,mean_diff,kmeans,0.94591504
gpt2-small,5,mean_diff,logistic_regression,0.92805725
gpt2-small,5,mean_diff,pca,0.9178784
gpt2-small,5,mean_diff,das,0.8252138
gpt2-small,5,mean_diff,random,0.04050589
gpt2-small,5,kmeans,mean_diff,0.94591504
gpt2-small,5,kmeans,kmeans,1.0
gpt2-small,5,kmeans,logistic_regression,0.7922334
gpt2-small,5,kmeans,pca,0.9858599
gpt2-small,5,kmeans,das,0.7797282
gpt2-small,5,kmeans,random,0.030612664
gpt2-small,5,logistic_regression,mean_diff,0.92805725
gpt2-small,5,logistic_regression,kmeans,0.7922334
gpt2-small,5,logistic_regression,logistic_regression,1.0
gpt2-small,5,logistic_regression,pca,0.736758
gpt2-small,5,logistic_regression,das,0.76619554
gpt2-small,5,logistic_regression,random,0.033585984
gpt2-small,5,pca,mean_diff,0.9178784
gpt2-small,5,pca,kmeans,0.9858599
gpt2-small,5,pca,logistic_regression,0.736758
gpt2-small,5,pca,pca,1.0
gpt2-small,5,pca,das,0.7502502
gpt2-small,5,pca,random,0.03144713
gpt2-small,5,das,mean_diff,0.8252138
gpt2-small,5,das,kmeans,0.7797282
gpt2-small,5,das,logistic_regression,0.76619554
gpt2-small,5,das,pca,0.7502502
gpt2-small,5,das,das,1.0000001
gpt2-small,5,das,random,0.017508328
gpt2-small,5,random,mean_diff,0.04050589
gpt2-small,5,random,kmeans,0.030612664
gpt2-small,5,random,logistic_regression,0.033585984
gpt2-small,5,random,pca,0.03144713
gpt2-small,5,random,das,0.017508328
gpt2-small,5,random,random,1.0000001
gpt2-small,6,mean_diff,mean_diff,1.0000001
gpt2-small,6,mean_diff,kmeans,1.0000001
gpt2-small,6,mean_diff,logistic_regression,0.9428942
gpt2-small,6,mean_diff,pca,0.9392238
gpt2-small,6,mean_diff,das,0.82036453
gpt2-small,6,mean_diff,random,0.026644923
gpt2-small,6,kmeans,mean_diff,1.0000001
gpt2-small,6,kmeans,kmeans,1.0000001
gpt2-small,6,kmeans,logistic_regression,0.9428942
gpt2-small,6,kmeans,pca,0.9392238
gpt2-small,6,kmeans,das,0.82036453
gpt2-small,6,kmeans,random,0.026644923
gpt2-small,6,logistic_regression,mean_diff,0.9428942
gpt2-small,6,logistic_regression,kmeans,0.9428942
gpt2-small,6,logistic_regression,logistic_regression,1.0000002
gpt2-small,6,logistic_regression,pca,0.7983898
gpt2-small,6,logistic_regression,das,0.7815305
gpt2-small,6,logistic_regression,random,0.029978292
gpt2-small,6,pca,mean_diff,0.9392238
gpt2-small,6,pca,kmeans,0.9392238
gpt2-small,6,pca,logistic_regression,0.7983898
gpt2-small,6,pca,pca,0.99999964
gpt2-small,6,pca,das,0.75464916
gpt2-small,6,pca,random,0.022033121
gpt2-small,6,das,mean_diff,0.82036453
gpt2-small,6,das,kmeans,0.82036453
gpt2-small,6,das,logistic_regression,0.7815305
gpt2-small,6,das,pca,0.75464916
gpt2-small,6,das,das,0.9999999
gpt2-small,6,das,random,0.008819809
gpt2-small,6,random,mean_diff,0.026644923
gpt2-small,6,random,kmeans,0.026644923
gpt2-small,6,random,logistic_regression,0.029978292
gpt2-small,6,random,pca,0.022033121
gpt2-small,6,random,das,0.008819809
gpt2-small,6,random,random,0.99999976
gpt2-small,7,mean_diff,mean_diff,0.99999964
gpt2-small,7,mean_diff,kmeans,0.99999964
gpt2-small,7,mean_diff,logistic_regression,0.9327324
gpt2-small,7,mean_diff,pca,0.94001883
gpt2-small,7,mean_diff,das,0.82751626
gpt2-small,7,mean_diff,random,0.0047130086
gpt2-small,7,kmeans,mean_diff,0.99999964
gpt2-small,7,kmeans,kmeans,0.99999964
gpt2-small,7,kmeans,logistic_regression,0.9327324
gpt2-small,7,kmeans,pca,0.94001883
gpt2-small,7,kmeans,das,0.82751626
gpt2-small,7,kmeans,random,0.0047130086
gpt2-small,7,logistic_regression,mean_diff,0.9327324
gpt2-small,7,logistic_regression,kmeans,0.9327324
gpt2-small,7,logistic_regression,logistic_regression,0.9999999
gpt2-small,7,logistic_regression,pca,0.78385043
gpt2-small,7,logistic_regression,das,0.7733356
gpt2-small,7,logistic_regression,random,0.0060651107
gpt2-small,7,pca,mean_diff,0.94001883
gpt2-small,7,pca,kmeans,0.94001883
gpt2-small,7,pca,logistic_regression,0.78385043
gpt2-small,7,pca,pca,1.0000002
gpt2-small,7,pca,das,0.7727007
gpt2-small,7,pca,random,0.016830793
gpt2-small,7,das,mean_diff,0.82751626
gpt2-small,7,das,kmeans,0.82751626
gpt2-small,7,das,logistic_regression,0.7733356
gpt2-small,7,das,pca,0.7727007
gpt2-small,7,das,das,1.0
gpt2-small,7,das,random,0.052666828
gpt2-small,7,random,mean_diff,0.0047130086
gpt2-small,7,random,kmeans,0.0047130086
gpt2-small,7,random,logistic_regression,0.0060651107
gpt2-small,7,random,pca,0.016830793
gpt2-small,7,random,das,0.052666828
gpt2-small,7,random,random,1.0000001
gpt2-small,8,mean_diff,mean_diff,1.0000002
gpt2-small,8,mean_diff,kmeans,1.0000002
gpt2-small,8,mean_diff,logistic_regression,0.92095494
gpt2-small,8,mean_diff,pca,0.9392023
gpt2-small,8,mean_diff,das,0.81960994
gpt2-small,8,mean_diff,random,0.0064681736
gpt2-small,8,kmeans,mean_diff,1.0000002
gpt2-small,8,kmeans,kmeans,1.0000002
gpt2-small,8,kmeans,logistic_regression,0.92095494
gpt2-small,8,kmeans,pca,0.9392023
gpt2-small,8,kmeans,das,0.81960994
gpt2-small,8,kmeans,random,0.0064681736
gpt2-small,8,logistic_regression,mean_diff,0.92095494
gpt2-small,8,logistic_regression,kmeans,0.92095494
gpt2-small,8,logistic_regression,logistic_regression,1.0000004
gpt2-small,8,logistic_regression,pca,0.7590758
gpt2-small,8,logistic_regression,das,0.74830866
gpt2-small,8,logistic_regression,random,0.012395719
gpt2-small,8,pca,mean_diff,0.9392023
gpt2-small,8,pca,kmeans,0.9392023
gpt2-small,8,pca,logistic_regression,0.7590758
gpt2-small,8,pca,pca,1.0000001
gpt2-small,8,pca,das,0.7690011
gpt2-small,8,pca,random,0.011420287
gpt2-small,8,das,mean_diff,0.81960994
gpt2-small,8,das,kmeans,0.81960994
gpt2-small,8,das,logistic_regression,0.74830866
gpt2-small,8,das,pca,0.7690011
gpt2-small,8,das,das,1.0000001
gpt2-small,8,das,random,0.019816604
gpt2-small,8,random,mean_diff,0.0064681736
gpt2-small,8,random,kmeans,0.0064681736
gpt2-small,8,random,logistic_regression,0.012395719
gpt2-small,8,random,pca,0.011420287
gpt2-small,8,random,das,0.019816604
gpt2-small,8,random,random,1.0
gpt2-small,9,mean_diff,mean_diff,1.0000002
gpt2-small,9,mean_diff,kmeans,0.9259149
gpt2-small,9,mean_diff,logistic_regression,0.91595066
gpt2-small,9,mean_diff,pca,0.9304037
gpt2-small,9,mean_diff,das,0.8348487
gpt2-small,9,mean_diff,random,0.035530675
gpt2-small,9,kmeans,mean_diff,0.9259149
gpt2-small,9,kmeans,kmeans,0.9999999
gpt2-small,9,kmeans,logistic_regression,0.7441292
gpt2-small,9,kmeans,pca,0.9813009
gpt2-small,9,kmeans,das,0.78746915
gpt2-small,9,kmeans,random,0.03937332
gpt2-small,9,logistic_regression,mean_diff,0.91595066
gpt2-small,9,logistic_regression,kmeans,0.7441292
gpt2-small,9,logistic_regression,logistic_regression,1.0000002
gpt2-small,9,logistic_regression,pca,0.7363367
gpt2-small,9,logistic_regression,das,0.7543397
gpt2-small,9,logistic_regression,random,0.041518476
gpt2-small,9,pca,mean_diff,0.9304037
gpt2-small,9,pca,kmeans,0.9813009
gpt2-small,9,pca,logistic_regression,0.7363367
gpt2-small,9,pca,pca,0.9999999
gpt2-small,9,pca,das,0.78276694
gpt2-small,9,pca,random,0.028155662
gpt2-small,9,das,mean_diff,0.8348487
gpt2-small,9,das,kmeans,0.78746915
gpt2-small,9,das,logistic_regression,0.7543397
