model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
qwen-0.6b,das,0,1,0,64,0.001,128,0,0.9991326332092285,1.0019172430038452
qwen-0.6b,das,0,1,0,64,0.001,128,1,1.0019172430038452,0.9864876866340637
qwen-0.6b,das,0,1,0,64,0.001,128,2,0.9864876866340637,0.9606499671936035
qwen-0.6b,das,0,1,0,64,0.001,128,3,0.9606499671936035,0.926458477973938
qwen-0.6b,das,0,1,0,64,0.001,128,4,0.926458477973938,0.8625490069389343
qwen-0.6b,das,0,1,0,64,0.001,128,5,0.8625490069389343,0.8061261177062988
qwen-0.6b,das,0,1,0,64,0.001,128,6,0.8061261177062988,0.7560028433799744
qwen-0.6b,das,0,1,0,64,0.001,128,7,0.7560028433799744,0.7161964178085327
qwen-0.6b,das,0,1,0,64,0.001,128,8,0.7161964178085327,0.6998082399368286
qwen-0.6b,das,0,1,0,64,0.001,128,9,0.6998082399368286,0.6793572306632996
qwen-0.6b,das,0,1,0,64,0.001,128,10,0.6793572306632996,0.6667122840881348
qwen-0.6b,das,0,1,0,64,0.001,128,11,0.6667122840881348,0.6573997735977173
qwen-0.6b,das,0,1,0,64,0.001,128,12,0.6573997735977173,0.643522322177887
qwen-0.6b,das,0,1,0,64,0.001,128,13,0.643522322177887,0.6201497316360474
qwen-0.6b,das,0,1,0,64,0.001,128,14,0.6201497316360474,0.5981922745704651
qwen-0.6b,das,0,1,0,64,0.001,128,15,0.5981922745704651,0.5751848816871643
qwen-0.6b,das,0,1,0,64,0.001,128,16,0.5751848816871643,0.5453300476074219
qwen-0.6b,das,0,1,0,64,0.001,128,17,0.5453300476074219,0.5380717515945435
qwen-0.6b,das,0,1,0,64,0.001,128,18,0.5380717515945435,0.5344654321670532
qwen-0.6b,das,0,1,0,64,0.001,128,19,0.5344654321670532,0.5032411217689514
qwen-0.6b,das,0,1,0,64,0.001,128,20,0.5032411217689514,0.4885875880718231
qwen-0.6b,das,0,1,0,64,0.001,128,21,0.4885875880718231,0.47658175230026245
qwen-0.6b,das,0,1,0,64,0.001,128,22,0.47658175230026245,0.4773121476173401
qwen-0.6b,das,0,1,0,64,0.001,128,23,0.4773121476173401,0.467223584651947
qwen-0.6b,das,0,1,0,64,0.001,128,24,0.467223584651947,0.46325206756591797
qwen-0.6b,das,0,1,0,64,0.001,128,25,0.46325206756591797,0.4473203718662262
qwen-0.6b,das,0,1,0,64,0.001,128,26,0.4473203718662262,0.4380991458892822
qwen-0.6b,das,0,1,0,64,0.001,128,27,0.4380991458892822,0.43312332034111023
qwen-0.6b,das,0,1,0,64,0.001,128,28,0.43312332034111023,0.4311603903770447
qwen-0.6b,das,0,1,0,64,0.001,128,29,0.4311603903770447,0.41719159483909607
qwen-0.6b,das,0,1,0,64,0.001,128,30,0.41719159483909607,0.40984204411506653
qwen-0.6b,das,0,1,0,64,0.001,128,31,0.40984204411506653,0.40879207849502563
qwen-0.6b,das,0,1,0,64,0.001,128,32,0.40879207849502563,0.39669495820999146
qwen-0.6b,das,0,1,0,64,0.001,128,33,0.39669495820999146,0.38838672637939453
qwen-0.6b,das,0,1,0,64,0.001,128,34,0.38838672637939453,0.38482606410980225
qwen-0.6b,das,0,1,0,64,0.001,128,35,0.38482606410980225,0.38135671615600586
qwen-0.6b,das,0,1,0,64,0.001,128,36,0.38135671615600586,0.386195570230484
qwen-0.6b,das,0,1,0,64,0.001,128,37,0.386195570230484,0.381219744682312
qwen-0.6b,das,0,1,0,64,0.001,128,38,0.381219744682312,0.3729571998119354
qwen-0.6b,das,0,1,0,64,0.001,128,39,0.3729571998119354,0.363781601190567
qwen-0.6b,das,0,1,0,64,0.001,128,40,0.363781601190567,0.35971879959106445
qwen-0.6b,das,0,1,0,64,0.001,128,41,0.35971879959106445,0.36337074637413025
qwen-0.6b,das,0,1,0,64,0.001,128,42,0.36337074637413025,0.3626403510570526
qwen-0.6b,das,0,1,0,64,0.001,128,43,0.3626403510570526,0.35990139842033386
qwen-0.6b,das,0,1,0,64,0.001,128,44,0.35990139842033386,0.35830366611480713
qwen-0.6b,das,0,1,0,64,0.001,128,45,0.35830366611480713,0.35456040501594543
qwen-0.6b,das,0,1,0,64,0.001,128,46,0.35456040501594543,0.3478955328464508
qwen-0.6b,das,0,1,0,64,0.001,128,47,0.3478955328464508,0.3456130623817444
qwen-0.6b,das,0,1,0,64,0.001,128,48,0.3456130623817444,0.34401533007621765
qwen-0.6b,das,0,1,0,64,0.001,128,49,0.34401533007621765,0.3460695743560791
qwen-0.6b,das,0,1,0,64,0.001,128,50,0.3460695743560791,0.34191545844078064
qwen-0.6b,das,0,1,0,64,0.001,128,51,0.34191545844078064,0.34323930740356445
qwen-0.6b,das,0,1,0,64,0.001,128,52,0.34323930740356445,0.3431936502456665
qwen-0.6b,das,0,1,0,64,0.001,128,53,0.3431936502456665,0.34200674295425415
qwen-0.6b,das,0,1,0,64,0.001,128,54,0.34200674295425415,0.342143714427948
qwen-0.6b,das,0,1,0,64,0.001,128,55,0.342143714427948,0.3378526270389557
qwen-0.6b,das,0,1,0,64,0.001,128,56,0.3378526270389557,0.33442893624305725
qwen-0.6b,das,0,1,0,64,0.001,128,57,0.33442893624305725,0.3337898254394531
qwen-0.6b,das,0,1,0,64,0.001,128,58,0.3337898254394531,0.33356156945228577
qwen-0.6b,das,0,1,0,64,0.001,128,59,0.33356156945228577,0.33767005801200867
qwen-0.6b,das,0,1,0,64,0.001,128,60,0.33767005801200867,0.33118781447410583
qwen-0.6b,das,0,1,0,64,0.001,128,61,0.33118781447410583,0.3305487036705017
qwen-0.6b,das,0,1,0,64,0.001,128,62,0.3305487036705017,0.33137038350105286
qwen-0.6b,das,0,1,0,64,0.001,128,63,0.33137038350105286,0.3332420289516449
