model,layer,method_a,method_b,absolute_cosine
qwen-0.6b,0,mean_diff,mean_diff,1.0000001
qwen-0.6b,0,mean_diff,kmeans,1.0000001
qwen-0.6b,0,mean_diff,logistic_regression,0.99696
qwen-0.6b,0,mean_diff,pca,0.8770264
qwen-0.6b,0,mean_diff,das,0.79098845
qwen-0.6b,0,mean_diff,random,0.004703328
qwen-0.6b,0,kmeans,mean_diff,1.0000001
qwen-0.6b,0,kmeans,kmeans,1.0000001
qwen-0.6b,0,kmeans,logistic_regression,0.99696
qwen-0.6b,0,kmeans,pca,0.8770264
qwen-0.6b,0,kmeans,das,0.79098845
qwen-0.6b,0,kmeans,random,0.004703328
qwen-0.6b,0,logistic_regression,mean_diff,0.99696
qwen-0.6b,0,logistic_regression,kmeans,0.99696
qwen-0.6b,0,logistic_regression,logistic_regression,0.9999999
qwen-0.6b,0,logistic_regression,pca,0.84418553
qwen-0.6b,0,logistic_regression,das,0.7921285
qwen-0.6b,0,logistic_regression,random,0.006232039
qwen-0.6b,0,pca,mean_diff,0.8770264
qwen-0.6b,0,pca,kmeans,0.8770264
qwen-0.6b,0,pca,logistic_regression,0.84418553
qwen-0.6b,0,pca,pca,1.0000001
qwen-0.6b,0,pca,das,0.6699004
qwen-0.6b,0,pca,random,0.0071840025
qwen-0.6b,0,das,mean_diff,0.79098845
qwen-0.6b,0,das,kmeans,0.79098845
qwen-0.6b,0,das,logistic_regression,0.7921285
qwen-0.6b,0,das,pca,0.6699004
qwen-0.6b,0,das,das,1.0000005
qwen-0.6b,0,das,random,0.015932567
qwen-0.6b,0,random,mean_diff,0.004703328
qwen-0.6b,0,random,kmeans,0.004703328
qwen-0.6b,0,random,logistic_regression,0.006232039
qwen-0.6b,0,random,pca,0.0071840025
qwen-0.6b,0,random,das,0.015932567
qwen-0.6b,0,random,random,1.0
qwen-0.6b,1,mean_diff,mean_diff,0.9999999
qwen-0.6b,1,mean_diff,kmeans,0.8278288
qwen-0.6b,1,mean_diff,logistic_regression,0.9326251
qwen-0.6b,1,mean_diff,pca,0.8431787
qwen-0.6b,1,mean_diff,das,0.8156385
qwen-0.6b,1,mean_diff,random,0.019452723
qwen-0.6b,1,kmeans,mean_diff,0.8278288
qwen-0.6b,1,kmeans,kmeans,0.9999996
qwen-0.6b,1,kmeans,logistic_regression,0.64646214
qwen-0.6b,1,kmeans,pca,0.8682432
qwen-0.6b,1,kmeans,das,0.62212366
qwen-0.6b,1,kmeans,random,0.018854385
qwen-0.6b,1,logistic_regression,mean_diff,0.9326251
qwen-0.6b,1,logistic_regression,kmeans,0.64646214
qwen-0.6b,1,logistic_regression,logistic_regression,0.99999994
qwen-0.6b,1,logistic_regression,pca,0.648508
qwen-0.6b,1,logistic_regression,das,0.79936767
qwen-0.6b,1,logistic_regression,random,0.007224707
qwen-0.6b,1,pca,mean_diff,0.8431787
qwen-0.6b,1,pca,kmeans,0.8682432
qwen-0.6b,1,pca,logistic_regression,0.648508
qwen-0.6b,1,pca,pca,0.99999976
qwen-0.6b,1,pca,das,0.6338872
qwen-0.6b,1,pca,random,0.04413588
qwen-0.6b,1,das,mean_diff,0.8156385
qwen-0.6b,1,das,kmeans,0.62212366
qwen-0.6b,1,das,logistic_regression,0.79936767
qwen-0.6b,1,das,pca,0.6338872
qwen-0.6b,1,das,das,0.9999999
qwen-0.6b,1,das,random,0.040047325
qwen-0.6b,1,random,mean_diff,0.019452723
qwen-0.6b,1,random,kmeans,0.018854385
qwen-0.6b,1,random,logistic_regression,0.007224707
qwen-0.6b,1,random,pca,0.04413588
qwen-0.6b,1,random,das,0.040047325
qwen-0.6b,1,random,random,1.0000002
qwen-0.6b,2,mean_diff,mean_diff,0.99999994
qwen-0.6b,2,mean_diff,kmeans,0.5276041
qwen-0.6b,2,mean_diff,logistic_regression,0.92784727
qwen-0.6b,2,mean_diff,pca,0.83614457
qwen-0.6b,2,mean_diff,das,0.8057192
qwen-0.6b,2,mean_diff,random,0.002799849
qwen-0.6b,2,kmeans,mean_diff,0.5276041
qwen-0.6b,2,kmeans,kmeans,1.0000005
qwen-0.6b,2,kmeans,logistic_regression,0.349719
qwen-0.6b,2,kmeans,pca,0.84653556
qwen-0.6b,2,kmeans,das,0.38081598
qwen-0.6b,2,kmeans,random,0.03770294
qwen-0.6b,2,logistic_regression,mean_diff,0.92784727
qwen-0.6b,2,logistic_regression,kmeans,0.349719
qwen-0.6b,2,logistic_regression,logistic_regression,1.0000001
qwen-0.6b,2,logistic_regression,pca,0.6339643
qwen-0.6b,2,logistic_regression,das,0.7796231
qwen-0.6b,2,logistic_regression,random,0.019406565
qwen-0.6b,2,pca,mean_diff,0.83614457
qwen-0.6b,2,pca,kmeans,0.84653556
qwen-0.6b,2,pca,logistic_regression,0.6339643
qwen-0.6b,2,pca,pca,0.99999994
qwen-0.6b,2,pca,das,0.6368215
qwen-0.6b,2,pca,random,0.027947523
qwen-0.6b,2,das,mean_diff,0.8057192
qwen-0.6b,2,das,kmeans,0.38081598
qwen-0.6b,2,das,logistic_regression,0.7796231
qwen-0.6b,2,das,pca,0.6368215
qwen-0.6b,2,das,das,0.99999976
qwen-0.6b,2,das,random,0.013645633
qwen-0.6b,2,random,mean_diff,0.002799849
qwen-0.6b,2,random,kmeans,0.03770294
qwen-0.6b,2,random,logistic_regression,0.019406565
qwen-0.6b,2,random,pca,0.027947523
qwen-0.6b,2,random,das,0.013645633
qwen-0.6b,2,random,random,0.99999976
qwen-0.6b,3,mean_diff,mean_diff,1.0000002
