model,method,layer,dataset,clean_id,corrupted_id,clean_label,corrupted_label,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,clean_margin,corrupted_margin,patched_margin,recovery,recovery_percent,flipped
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-000,toy-test-neg-000,1,0,3.625,-0.9750000238418579,3.2125000953674316,3.625,-0.9750000238418579,3.2125000953674316,0.910326108153353,91.0326108153353,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-000,toy-test-pos-001,0,1,-0.9750000238418579,3.7250001430511475,3.1625001430511475,0.9750000238418579,-3.7250001430511475,-3.1625001430511475,0.11968084681406464,11.968084681406463,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-001,toy-test-neg-001,1,0,3.7250001430511475,-2.2750000953674316,2.6500000953674316,3.7250001430511475,-2.2750000953674316,2.6500000953674316,0.8208333325054911,82.0833332505491,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-001,toy-test-pos-002,0,1,-2.2750000953674316,2.950000047683716,2.2750000953674316,2.2750000953674316,-2.950000047683716,-2.2750000953674316,0.1291865902078458,12.918659020784578,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-002,toy-test-neg-002,1,0,2.950000047683716,-1.850000023841858,1.8250000476837158,2.950000047683716,-1.850000023841858,1.8250000476837158,0.7656250034924597,76.56250034924597,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-002,toy-test-pos-003,0,1,-1.850000023841858,4.462500095367432,2.6500000953674316,1.850000023841858,-4.462500095367432,-2.6500000953674316,0.28712870744896485,28.712870744896488,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-003,toy-test-neg-003,1,0,4.462500095367432,-2.125,2.737499952316284,4.462500095367432,-2.125,2.737499952316284,0.7381403995327105,73.81403995327105,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-003,toy-test-pos-004,0,1,-2.125,3.375,2.049999952316284,2.125,-3.375,-2.049999952316284,0.24090909957885742,24.090909957885742,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-004,toy-test-neg-004,1,0,3.375,-1.5500000715255737,1.774999976158142,3.375,-1.5500000715255737,1.774999976158142,0.6751269034304318,67.51269034304318,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-004,toy-test-pos-005,0,1,-1.5500000715255737,4.512500286102295,4.200000286102295,1.5500000715255737,-4.512500286102295,-4.200000286102295,0.0515463887118474,5.15463887118474,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-005,toy-test-neg-005,1,0,4.512500286102295,-2.924999952316284,-2.174999952316284,4.512500286102295,-2.924999952316284,-2.174999952316284,0.10084033290188787,10.084033290188788,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-005,toy-test-pos-006,0,1,-2.924999952316284,3.625,3.262500047683716,2.924999952316284,-3.625,-3.262500047683716,0.05534350457332338,5.534350457332338,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-006,toy-test-neg-006,1,0,3.625,-1.875,1.649999976158142,3.625,-1.875,1.649999976158142,0.6409090865742076,64.09090865742077,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-006,toy-test-pos-007,0,1,-1.875,4.337500095367432,2.7875001430511475,1.875,-4.337500095367432,-2.7875001430511475,0.2494969703858992,24.94969703858992,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-007,toy-test-neg-007,1,0,4.337500095367432,-1.4250000715255737,-0.9750000238418579,4.337500095367432,-1.4250000715255737,-0.9750000238418579,0.07809111230383607,7.809111230383608,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-007,toy-test-pos-008,0,1,-1.4250000715255737,3.3500001430511475,2.6500000953674316,1.4250000715255737,-3.3500001430511475,-2.6500000953674316,0.1465968620371606,14.65968620371606,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-008,toy-test-neg-008,1,0,3.325000047683716,-2.049999952316284,2.5,3.325000047683716,-2.049999952316284,2.5,0.8465116190355878,84.65116190355877,1.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-008,toy-test-pos-009,0,1,-2.049999952316284,4.200000286102295,3.200000047683716,2.049999952316284,-4.200000286102295,-3.200000047683716,0.1600000320434558,16.00000320434558,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-pos-009,toy-test-neg-009,1,0,4.200000286102295,-2.1500000953674316,-1.8125,4.200000286102295,-2.1500000953674316,-1.8125,0.053149618124797064,5.314961812479706,0.0
qwen-0.6b,mean_diff,0,toy_test,toy-test-neg-009,toy-test-pos-010,0,1,-2.1500000953674316,3.549999952316284,2.9625000953674316,2.1500000953674316,-3.549999952316284,-2.9625000953674316,0.103070149479664,10.307014947966401,0.0
